model,MAE,RMSE,Bias,source_file
mean,3.788833121924255,4.397299694222849,0.4810056460653721,part2_benchmarks_metrics
naive,3.78320293421856,4.45910854649494,-0.8824799488705726,part2_benchmarks_metrics
seasonal_naive,2.3185205853174606,3.0067608119599956,1.7317507058913308,part2_benchmarks_metrics
drift,4.3398906744474335,5.117957264105129,1.0068021780426912,part2_benchmarks_metrics
sarima,3.0969020899542317,3.801101767306222,2.8567588824536845,part3_sarima_metrics
sarimax_temp,3.0294414547289343,3.808707623595117,2.7854447949490915,part4_sarimax_temp_metrics
rf_weekly,1.800817479967969,2.395005525973015,0.837145993780524,part5_rf_weekly_metrics
lstm_daily,1.299733049721342,2.07791321033945,0.4709330960825061,part6_lstm_daily_metrics
