utc_timestamp,actual,sarima,lower_95,upper_95
2018-10-14 00:00:00+00:00,55.84894047619047,57.41030735038273,54.81483725724983,60.00577744351563
2018-10-21 00:00:00+00:00,55.762125,57.890656557509786,55.11570003255203,60.665613082467544
2018-10-28 00:00:00+00:00,58.684714285714286,58.264690904447285,55.48781593706734,61.04156587182723
2018-11-04 00:00:00+00:00,55.917589285714286,56.732072291230146,53.955197323599236,59.508947258861056
2018-11-11 00:00:00+00:00,58.163470238095236,60.70530578286063,57.92843081516197,63.48218075055929
2018-11-18 00:00:00+00:00,59.696083333333334,61.372043703386616,58.595168735650375,64.14891867112286
2018-11-25 00:00:00+00:00,61.55336309523809,61.75960418177444,58.98272921399524,64.53647914955364
2018-12-02 00:00:00+00:00,62.379154761904765,62.64973443157871,59.87285946376286,65.42660939939455
2018-12-09 00:00:00+00:00,62.32269047619047,63.10333048992582,60.32645552207222,65.88020545777941
2018-12-16 00:00:00+00:00,63.2435,61.972456270839295,59.19558130390009,64.7493312377785
2018-12-23 00:00:00+00:00,59.40855952380953,56.190853348598274,53.41397838955966,58.96772830763689
2018-12-30 00:00:00+00:00,49.075583333333334,49.59513761952057,46.81826268043711,52.372012558604034
2019-01-06 00:00:00+00:00,53.805875,58.129989032543826,55.352928210147425,60.907049854940226
2019-01-13 00:00:00+00:00,62.37220238095238,62.06983757641285,59.295611563458074,64.84406358936762
2019-01-20 00:00:00+00:00,62.423494047619045,63.0916630504983,60.35288874298338,65.83043735801321
2019-01-27 00:00:00+00:00,63.58701190476191,62.17574717536285,59.436972869839465,64.91452148088624
2019-02-03 00:00:00+00:00,62.088767857142855,62.02513020722252,59.28635590294196,64.76390451150307
2019-02-10 00:00:00+00:00,62.35953571428572,62.05698783774468,59.31821353352679,64.79576214196257
2019-02-17 00:00:00+00:00,60.79900595238095,61.74234731329684,59.003573009038824,64.48112161755486
2019-02-24 00:00:00+00:00,59.46751785714285,61.517011829475415,58.77823752517982,64.25578613377101
2019-03-03 00:00:00+00:00,58.48182142857143,62.07143055732524,59.332656252989516,64.81020486166098
2019-03-10 00:00:00+00:00,58.99095238095238,60.26497181491946,57.526197510546154,63.00374611929277
2019-03-17 00:00:00+00:00,60.07891071428572,60.04294080243642,57.30416649802298,62.78171510684986
2019-03-24 00:00:00+00:00,57.649363095238094,59.181220141838644,56.44244583738762,61.919994446289664
2019-03-31 00:00:00+00:00,56.77151190476191,56.227445196362005,53.48867089187085,58.96621950085316
2019-04-07 00:00:00+00:00,56.43385714285714,55.94131370980761,53.20253940527888,58.68008801433634
2019-04-14 00:00:00+00:00,56.765970238095235,55.81310276061044,53.07432845604158,58.551877065179305
2019-04-21 00:00:00+00:00,51.656261904761905,55.45311527053046,52.714340965924016,58.191889575136905
2019-04-28 00:00:00+00:00,52.33675,56.26215526885189,53.523380964205316,59.00092957349847
2019-05-05 00:00:00+00:00,53.123172619047615,54.43625620487281,51.697481900188656,57.17503050955697
2019-05-12 00:00:00+00:00,56.02357738095238,54.645206010692284,51.906431705968,57.38398031541657
2019-05-19 00:00:00+00:00,55.28559523809524,55.39974054437009,52.66096623960822,58.13851484913196
2019-05-26 00:00:00+00:00,54.94535119047619,53.64532777233673,50.90655346753473,56.38410207713873
2019-06-02 00:00:00+00:00,51.30880357142857,54.97184352069569,52.23306921585611,57.71061782553527
2019-06-09 00:00:00+00:00,54.52816071428572,55.675634142731546,52.93685983785184,58.41440844761125
2019-06-16 00:00:00+00:00,52.28670833333334,55.623312663578005,52.88453835866072,58.36208696849529
2019-06-23 00:00:00+00:00,52.54121428571428,56.61576516022352,53.8769908552661,59.354539465180935
2019-06-30 00:00:00+00:00,55.955285714285715,56.446085192337165,53.70731088734217,59.18485949733216
2019-07-07 00:00:00+00:00,55.179630952380954,56.567372773035025,53.828598467999896,59.306147078070154
2019-07-14 00:00:00+00:00,53.908166666666666,55.63497698957876,52.89620268450605,58.37375129465147
2019-07-21 00:00:00+00:00,53.511964285714285,55.42138826558763,52.68261396047479,58.16016257070047
2019-07-28 00:00:00+00:00,54.20710119047619,55.27302920425833,52.53425489910791,58.01180350940875
2019-08-04 00:00:00+00:00,52.39210119047619,55.01408633877533,52.27531203358478,57.752860643965874
2019-08-11 00:00:00+00:00,52.01905357142857,54.607489049879405,51.86871474465127,57.34626335510754
2019-08-18 00:00:00+00:00,51.15523809523809,54.12914455517121,51.39037024990295,56.86791886043947
2019-08-25 00:00:00+00:00,51.83813095238095,55.437387112007684,52.698612806701846,58.17616141731352
2019-09-01 00:00:00+00:00,54.091970238095236,55.44881723733212,52.71004293198615,58.18759154267809
2019-09-08 00:00:00+00:00,52.44316071428572,55.65210644910933,52.91333214372578,58.39088075449288
2019-09-15 00:00:00+00:00,53.34848809523809,56.18927779182016,53.45050348639648,58.92805209724384
2019-09-22 00:00:00+00:00,53.22254761904762,56.11960088849446,53.3808265830042,58.85837519398472
2019-09-29 00:00:00+00:00,54.82947619047619,56.57647568974611,53.83770138384459,59.31524999564763
2019-10-06 00:00:00+00:00,52.33063095238096,55.840915753052805,53.102141446523966,58.579690059581644
2019-10-13 00:00:00+00:00,55.80170833333334,58.464322780113136,55.57549314585024,61.353152414376034
2019-10-20 00:00:00+00:00,56.13279166666666,58.68460815847077,55.771306361233464,61.59790995570808
2019-10-27 00:00:00+00:00,56.484410714285715,59.03907847103256,56.12514926687272,61.9530076751924
2019-11-03 00:00:00+00:00,55.029630952380955,57.50645985781542,54.5925306532807,60.42038906235015
2019-11-10 00:00:00+00:00,58.15936309523809,61.4796933494459,58.565764144806174,64.39362255408562
2019-11-17 00:00:00+00:00,59.11223809523809,62.146431269971885,59.23250206526765,65.06036047467612
2019-11-24 00:00:00+00:00,59.73594047619047,62.53399174835971,59.62006254358654,65.44792095313288
2019-12-01 00:00:00+00:00,59.84283333333334,63.424121998163976,60.51019279332767,66.33805120300029
2019-12-08 00:00:00+00:00,61.05929761904762,63.877718056511085,60.9637888516108,66.79164726141137
2019-12-15 00:00:00+00:00,61.24219047619047,62.74684383742456,59.83291463336256,65.66077304148655
2019-12-22 00:00:00+00:00,56.83676785714285,56.965240915183536,54.05131171849352,59.87917011187355
2019-12-29 00:00:00+00:00,46.50530952380953,50.369525186105825,47.45559600728865,53.283454364923
2020-01-05 00:00:00+00:00,50.161702380952384,58.90437659912908,55.990162139208934,61.818591059049226
2020-01-12 00:00:00+00:00,59.077595238095235,62.844225142998106,59.93119006331202,65.7572602226842
2020-01-19 00:00:00+00:00,60.36169642857143,63.866050617083545,60.98255202556043,66.74954920860667
2020-01-26 00:00:00+00:00,60.89373214285715,62.9501347419481,60.06663615314619,65.83363333075
2020-02-02 00:00:00+00:00,60.83919642857143,62.79951777380776,59.916019186698556,65.68301636091695
2020-02-09 00:00:00+00:00,60.259839285714285,62.83137540432991,59.947876817296574,65.71487399136325
2020-02-16 00:00:00+00:00,60.845125,62.51673487988207,59.63323629278517,65.40023346697897
2020-02-23 00:00:00+00:00,59.787327380952384,62.29139939606065,59.40790080890238,65.17489798321891
2020-03-01 00:00:00+00:00,58.89913690476191,62.845818123910476,59.96231953668864,65.72931671113231
2020-03-08 00:00:00+00:00,58.688470238095235,61.0393593815047,58.15586079422151,63.922857968787895
2020-03-15 00:00:00+00:00,58.534238095238095,60.81732836902166,57.933829781674895,63.700826956368424
2020-03-22 00:00:00+00:00,55.372744047619044,59.955607708423884,57.072109121015764,62.839106295832
2020-03-29 00:00:00+00:00,53.471982142857144,57.001832762947245,54.11833417547555,59.88533135041894
2020-04-05 00:00:00+00:00,52.84526785714286,56.71570127639285,53.8322026888598,59.5991998639259
2020-04-12 00:00:00+00:00,47.21088690476191,56.58749032719568,53.70399173959906,59.4709889147923
2020-04-19 00:00:00+00:00,47.41569642857143,56.2275028371157,53.344004249457726,59.111001424773676
2020-04-26 00:00:00+00:00,50.17241666666666,57.03654283543713,54.15304424771558,59.920041423158686
2020-05-03 00:00:00+00:00,48.161904761904765,55.21064377145805,52.32714518367514,58.09414235924096
2020-05-10 00:00:00+00:00,49.59077976190476,55.419593577277524,52.53609498943104,58.303092165124006
2020-05-17 00:00:00+00:00,50.92697619047619,56.17412811095533,53.29062952304749,59.05762669886317
2020-05-24 00:00:00+00:00,47.43964285714286,54.41971533892197,51.53621675095056,57.30321392689338
2020-05-31 00:00:00+00:00,49.52760714285714,55.74623108728093,52.86273249924817,58.6297296753137
2020-06-07 00:00:00+00:00,48.776244047619045,56.45002170931678,53.56652312122044,59.333520297413116
2020-06-14 00:00:00+00:00,48.219744047619045,56.39770023016324,53.514201642005546,59.28119881832093
2020-06-21 00:00:00+00:00,49.81394642857143,57.39015272680875,54.506654138587486,60.273651315030015
2020-06-28 00:00:00+00:00,50.48079166666666,57.22047275892239,54.33697417063977,60.10397134720501
2020-07-05 00:00:00+00:00,51.458875,57.341760339620244,54.45826175127405,60.225258927966436
2020-07-12 00:00:00+00:00,51.25257738095238,56.40936455616398,53.52586596775643,59.29286314457153
2020-07-19 00:00:00+00:00,50.896184523809524,56.19577583217285,53.31227724370173,59.07927442064397
2020-07-26 00:00:00+00:00,50.47573809523809,56.047416770843554,53.16391818231108,58.93091535937603
2020-08-02 00:00:00+00:00,50.049392857142855,55.788473905360554,52.90497531676451,58.6719724939566
2020-08-09 00:00:00+00:00,49.45092261904762,55.38187661646463,52.49837802780722,58.26537520512204
2020-08-16 00:00:00+00:00,52.07673809523809,54.903532121756434,52.02003353303545,57.78703071047742
2020-08-23 00:00:00+00:00,51.872059523809526,56.21177467859291,53.32827608981057,59.09527326737525
2020-08-30 00:00:00+00:00,51.653375,56.22320480391735,53.33970621507144,59.10670339276326
2020-09-06 00:00:00+00:00,51.61774404761905,56.42649401569456,53.54299542678729,59.309992604601824
2020-09-13 00:00:00+00:00,51.50763095238096,56.963665358405386,54.08016676943455,59.847163947376224
2020-09-20 00:00:00+00:00,52.18132738095238,56.893988455079686,54.010489866007795,59.77748704415158
2020-09-27 00:00:00+00:00,53.41193452380953,57.35086325633134,54.46736466668783,60.234361845974846
2020-10-04 00:00:00+00:00,57.41031944444445,56.61530331963803,53.73180472912586,59.4988019101502
