utc_timestamp,actual,sarimax_temp,lower_95,upper_95
2018-10-14 00:00:00+00:00,55.84894047619047,57.33380977632822,54.8239755319744,59.84364402068205
2018-10-21 00:00:00+00:00,55.762125,57.933825865107806,55.24210913129277,60.62554259892284
2018-10-28 00:00:00+00:00,58.684714285714286,58.574496356947535,55.875732961173114,61.273259752721955
2018-11-04 00:00:00+00:00,55.917589285714286,55.67276628026729,52.97400288411172,58.37152967642286
2018-11-11 00:00:00+00:00,58.163470238095236,60.130085221327704,57.431321824875155,62.82884861778025
2018-11-18 00:00:00+00:00,59.696083333333334,61.45407096528021,58.7553075685416,64.15283436201882
2018-11-25 00:00:00+00:00,61.55336309523809,61.99352687726831,59.2947634802535,64.69229027428311
2018-12-02 00:00:00+00:00,62.379154761904765,62.75950939678963,60.06074599949079,65.45827279408847
2018-12-09 00:00:00+00:00,62.32269047619047,63.02765086618387,60.32888746862071,65.72641426374703
2018-12-16 00:00:00+00:00,63.2435,62.26972643017089,59.57096303267595,64.96848982766583
2018-12-23 00:00:00+00:00,59.40855952380953,56.70287356709701,54.00411017199637,59.40163696219764
2018-12-30 00:00:00+00:00,49.075583333333334,49.326464569151014,46.62770118049013,52.0252279578119
2019-01-06 00:00:00+00:00,53.805875,57.56018636563299,54.86118232770645,60.25919040355952
2019-01-13 00:00:00+00:00,62.37220238095238,61.40260703579637,58.70429348305821,64.10092058853454
2019-01-20 00:00:00+00:00,62.423494047619045,62.99534539984137,60.31004991980007,65.68064087988267
2019-01-27 00:00:00+00:00,63.58701190476191,62.36565941296197,59.68036393336945,65.05095489255449
2019-02-03 00:00:00+00:00,62.088767857142855,61.95305335448738,59.26775787503625,64.63834883393851
2019-02-10 00:00:00+00:00,62.35953571428572,61.60804884671475,58.92275336707432,64.29334432635518
2019-02-17 00:00:00+00:00,60.79900595238095,61.31337262544386,58.628077145527435,63.99866810536029
2019-02-24 00:00:00+00:00,59.46751785714285,61.34509144234358,58.65979596214906,64.0303869225381
2019-03-03 00:00:00+00:00,58.48182142857143,61.930275537946116,59.244980057475594,64.61557101841663
2019-03-10 00:00:00+00:00,58.99095238095238,59.753319766268724,57.06802428552012,62.43861524701733
2019-03-17 00:00:00+00:00,60.07891071428572,59.767758065690394,57.082462584665784,62.453053546715005
2019-03-24 00:00:00+00:00,57.649363095238094,59.391287224457216,56.70599174315451,62.07658270575992
2019-03-31 00:00:00+00:00,56.77151190476191,55.91502354662368,53.22972806504498,58.60031902820238
2019-04-07 00:00:00+00:00,56.43385714285714,56.23561790108446,53.55032241922767,58.92091338294125
2019-04-14 00:00:00+00:00,56.765970238095235,55.9415964995926,53.256301017459805,58.62689198172539
2019-04-21 00:00:00+00:00,51.656261904761905,55.57573192122516,52.89043643881428,58.26102740363605
2019-04-28 00:00:00+00:00,52.33675,55.62981719287147,52.94452171018459,58.31511267555835
2019-05-05 00:00:00+00:00,53.123172619047615,54.931084030127565,52.24578854716259,57.61637951309254
2019-05-12 00:00:00+00:00,56.02357738095238,55.17797035924992,52.49267487600894,57.8632658424909
2019-05-19 00:00:00+00:00,55.28559523809524,55.96534042547802,53.280044941958955,58.65063590899708
2019-05-26 00:00:00+00:00,54.94535119047619,53.88084632709489,51.19555084329983,56.56614181088996
2019-06-02 00:00:00+00:00,51.30880357142857,55.577713268867335,52.892417784794176,58.26300875294049
2019-06-09 00:00:00+00:00,54.52816071428572,55.67758233257297,52.99228684822381,58.36287781692212
2019-06-16 00:00:00+00:00,52.28670833333334,55.097620238639955,52.41232475401271,57.7829157232672
2019-06-23 00:00:00+00:00,52.54121428571428,56.37708027158223,53.69178478667898,59.06237575648548
2019-06-30 00:00:00+00:00,55.955285714285715,55.890916504588176,53.20562101940684,58.57621198976951
2019-07-07 00:00:00+00:00,55.179630952380954,56.44244571017879,53.75715022472145,59.127741195636126
2019-07-14 00:00:00+00:00,53.908166666666666,55.57714376554311,52.89184827980768,58.26243925127854
2019-07-21 00:00:00+00:00,53.511964285714285,55.0446550567162,52.359359570704775,57.72995054272763
2019-07-28 00:00:00+00:00,54.20710119047619,55.25454647844417,52.56925099215465,57.93984196473369
2019-08-04 00:00:00+00:00,52.39210119047619,55.04639633497386,52.36110084840834,57.731691821539386
2019-08-11 00:00:00+00:00,52.01905357142857,54.66264422464336,51.977348737799744,57.34793971148697
2019-08-18 00:00:00+00:00,51.15523809523809,54.25221080426187,51.56691531714226,56.93750629138148
2019-08-25 00:00:00+00:00,51.83813095238095,55.5049190293324,52.819623541934696,58.1902145167301
2019-09-01 00:00:00+00:00,54.091970238095236,54.58487850977529,51.89958302210158,57.27017399744899
2019-09-08 00:00:00+00:00,52.44316071428572,55.62070706238074,52.93541157442895,58.30600255033253
2019-09-15 00:00:00+00:00,53.34848809523809,56.25533390833751,53.57003842010972,58.940629396565306
2019-09-22 00:00:00+00:00,53.22254761904762,56.34195250963436,53.65665702110834,59.027247998160384
2019-09-29 00:00:00+00:00,54.82947619047619,56.371584925807035,53.68628943691036,59.05688041470371
2019-10-06 00:00:00+00:00,52.33063095238096,55.9547277818559,53.269432292516846,58.640023271194956
2019-10-13 00:00:00+00:00,55.80170833333334,58.55759647332074,55.63216268461142,61.48303026203006
